smiles,PI3K-beta,PI3K-alpha,PI3K-delta,PI3K-gamma
COc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1ccnc(-c2ccc(CN3CCC(C(C)(C)O)CC3)cc2F)c1,1,0,1,1
COc1cccc2c1nc(C(F)F)n2-c1nc(N2CCOCC2)nc(N2CCN(S(=O)(=O)CCCN3CCOCC3)CC2)n1,1,0,1,0
C[C@H](Nc1nc(N)nc(N)c1C#N)c1nc2cccc(Cl)c2c(=O)n1-c1cncc(C2CC2)c1,1,0,1,1
CC[C@H](Nc1ncnc(N)c1-c1ncc(C)o1)c1nc2cccc(Cl)c2c(=O)n1C1CC1,1,0,0,0
Cc1c(-c2cc(-c3nnc[nH]3)c3nc(C)n(-c4ccnc5c(F)ccc(F)c45)c3c2)ccnc1N,1,0,1,1
CN(/N=C/c1cnn2ccc(Br)cc12)S(=O)(=O)c1cc([N+](=O)[O-])ccc1OCCN1CCOCC1,1,0,1,0
CC[C@H](Nc1ncnc(N)c1-c1nnc(C)o1)c1nc2cccc(C#CCO)c2c(=O)n1-c1ccccc1,1,0,1,1
Cc1ccn2nc([C@H](C)Nc3ncnc(N)c3Cc3cccc(O)c3)n(-c3ccccc3)c(=O)c12,1,0,1,0
CC[C@H](Nc1ncnc(N)c1C1=N[C@@H](C)CO1)c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,1,0,0,0
Cc1nnc(-c2c(N)ncnc2N[C@@H](C)c2cc3cccc(-c4cnn(C)c4)c3c(=O)n2-c2ccccc2)o1,1,0,1,1
COc1cncc(-n2c([C@H](C)Nc3nc(N)nc(N)c3C#N)nc3cccc(Cl)c3c2=O)c1,1,0,1,1
CC[C@H](Nc1ncnc(N)c1-c1ccccn1)c1nc2cccc(Cl)c2c(=O)n1C1CC1,1,0,0,0
CC[C@H](Nc1ncnc(N)c1-c1ncnn1C)c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,1,0,0,0
CC#Cc1cccc2nc([C@H](CC)Nc3ncnc(N)c3-c3nnc(C)o3)n(-c3ccccc3)c(=O)c12,1,0,1,1
NCCC(=O)Nc1cccc2c1nc(C(F)F)n2-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,1,0,1,0
C[C@H](Nc1nc(N)nc(N)c1C#N)c1nc2cccc(Cl)c2c(=O)n1-c1cncc(C#N)c1,1,0,1,1
C[C@H](c1nc(-c2cnc(N)c(-n3nnc4ccccc43)n2)nn1C)N1CCOCC1,1,0,1,1
COCCS(=O)(=O)Nc1cc(-c2cc3c(c(OC[C@@H](C)N4CCC(C(C)(C)O)CC4)c2)COC3)cnc1OC,1,0,1,1
COc1cccc2c1nc(C(F)F)n2-c1nc(N2CCOCC2)nc(N2CCN(S(=O)(=O)CCN3CCN(C)CC3)CC2)n1,1,0,1,0
C[C@H](NC(=O)c1c(N)nn2cccnc12)c1cc2cccc(C#Cc3cnn(C)c3)c2c(=O)n1-c1ccccc1,1,1,1,1
C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2n1-c1ccccn1,1,0,1,1
C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2n1-c1cccc(S(C)(=O)=O)c1,1,0,1,1
CC[C@H](Nc1ncnc2nc[nH]c12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,1,1,1,1
Cc1csc2nc([C@H](C)Nc3ncnc4[nH]cnc34)c(-c3cccc(F)c3)c(=O)n12,1,1,1,1
COCCS(=O)(=O)Nc1cc(-c2cc3c(c(OC[C@H]4CN(CC(C)(C)O)CCO4)c2)COC3)cnc1OC,1,0,1,1
COc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1ccnc(-c2ccc(CN3CCN(C(C)(C)C)CC3)cc2F)c1,1,0,1,1
COc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1cncc(-c2ccc(CN3CCN(C(C)C)CC3)cc2F)c1,1,0,1,1
COc1ncc(C2=CCOCC2)cc1S(=O)(=O)Nc1cncc(-c2ccc(CN3CCN(C(C)C)CC3)nc2)c1,1,0,1,1
Cn1nc(-c2cnc(N)c(-c3c[nH]c4ccccc34)n2)nc1C1(c2ccccc2)CC1,1,0,1,1
C[C@@H](c1nc(-c2cnc(N)c(-n3nnc4ccccc43)n2)nn1C)N1CCOCC1,1,0,1,1
CN(CCN1CCCCC1)c1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnn2ccc(C#N)cc12,1,0,1,0
COc1cccc2c1nc(C(F)F)n2-c1nc(N2CCOCC2)nc(N2CCN(S(=O)(=O)CCN3CCN(CCO)CC3)CC2)n1,1,0,1,0
C[C@H](Nc1nc(N)nc(N)c1C#N)c1nc2cccc(Cl)c2c(=O)n1-c1cncc(C(F)(F)F)c1,1,0,1,1
COc1ncc(C2=CCOCC2)cc1S(=O)(=O)Nc1cncc(C#CCN2C[C@@H](C)O[C@@H](C)C2)c1,1,0,1,1
COc1ncc(C2=CCOCC2)cc1S(=O)(=O)Nc1cncc(C#CCN2CCN(C(C)C)CC2)c1,1,0,1,1
COc1ncc(C2=CCOCC2)cc1S(=O)(=O)Nc1cncc(C2=CCN(C)CC2)c1,1,0,1,1
COc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1ccnc(-c2ccc(CN3CCN(C(C)C)CC3)cc2F)c1,1,0,1,1
COc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1ccnc(-c2ccc(CN3CCN(C(C)C)CC3)c(F)c2F)c1,1,0,1,1
COc1ncc(-c2cc3c(c(NC(=O)CN4CCN(C)CC4)c2)COC3)cc1NS(C)(=O)=O,1,0,1,1
COCCS(=O)(=O)Nc1cc(-c2cc3c(c(OCCN4CCC(C(C)(C)O)CC4)c2)CCOC3)cnc1OC,1,0,1,1
COc1cccc2c1nc(C(F)F)n2-c1nc(N2CCOCC2)nc(N2CCN(S(=O)(=O)CCN3CC[S+]([O-])CC3)CC2)n1,1,0,1,0
C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cn2c1-c1cccc(S(C)(=O)=O)c1,1,0,1,1
C/C(=N\NS(=O)(=O)c1cc([N+](=O)[O-])ccc1N(C)Cc1ccccn1)c1cnn2ccc(Br)cc12,1,0,1,0
CN(/N=C/c1cnn2ccc(C#N)cc12)S(=O)(=O)c1cc([N+](=O)[O-])ccc1OCc1ccccn1,1,0,1,0
COc1cccc2c1nc(C(F)F)n2-c1nc(N2CCOCC2)nc(N2CCN(S(=O)(=O)CCN3CC4CCC(C3)O4)CC2)n1,1,0,1,0
C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cn2c1-c1ccc(F)cc1,1,0,1,1
COc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1ccnc(-c2ccc(CN3CCN(C(C)(C)C)CC3)cc2)c1,1,0,1,1
COc1ncc(-c2cc3c(c(NC(=O)CN4CCN(C(C)C)CC4)c2)COC3)cc1NS(C)(=O)=O,1,0,1,1
COc1ncc(-c2cc3c(c(NC(=O)CN4CCC(C(C)(C)O)CC4)c2)COC3)cc1NS(C)(=O)=O,1,0,1,1
COc1ncc(-c2cc3c(c(NC(=O)CC4CCOCC4)c2)COC3)cc1NS(C)(=O)=O,1,0,1,1
Cn1nc(-c2cnc(N)c(-n3nnc4ccccc43)n2)nc1C(C)(C)C1CCOCC1,1,0,1,1
Cn1nc(-c2cnc(N)c(-n3nnc4ccccc43)n2)nc1C1(c2ccccc2)CC1,1,0,1,1
COc1ncc(-c2cc3c(c(NC(=O)C[C@@H]4C[C@@H](C)O[C@@H](C)C4)c2)COC3)cc1NS(C)(=O)=O,1,0,1,1
COCCS(=O)(=O)Nc1cc(-c2cc3c(c(OC[C@H](C)N4CCC(C(C)(C)O)CC4)c2)COC3)cnc1OC,1,0,1,1
COc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1ccnc(-c2ccc(CN3CCN(C(C)C)CC3)c(F)c2)c1,1,0,1,1
COc1ncc(-c2cc(CCCN3C[C@@H](C)O[C@@H](C)C3)c3c(c2)COC3)cc1NS(C)(=O)=O,1,0,1,1
C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2n1-c1ccccc1S(C)(=O)=O,1,0,1,1
C/C(=N\N(C)S(=O)(=O)c1cc([N+](=O)[O-])ccc1N(C)Cc1ccccn1)c1cnn2ccc(C#N)cc12,1,0,1,0
CC(C)Oc1ccc(-c2nn([C@@H](C)c3oc4ccc(F)cc4c(=O)c3-c3cccc(F)c3)c3ncnc(N)c23)cc1F,1,0,1,1
CN(C)c1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1,1,0,0,0
Cn1nc(-c2cnc(N)c(-c3ccc(C(N)=O)cc3)n2)nc1C1(c2ccccc2)CC1,1,0,1,1
CC(=O)Nc1nc(C)c(-c2cc(Cl)c3c(c2)CN([C@@H](C)C2CC2)C3=O)s1,1,0,1,1
COc1cc(OC)c(/C=C/C(=O)c2c(OC)cc(OC)c(C3CCN(C)CC3)c2O)c(OC)c1,1,0,1,1
CC(=O)Nc1nc(C)c(-c2cc(C)c3c(c2)CN([C@@H](C)C2CC2)C3=O)s1,1,0,1,1
Cc1cc(-c2ccc3[nH]c(N)nc3c2)cc2c1C(=O)N([C@@H](C)C1CC1)C2,1,0,1,1
CC(=O)Nc1nc2cc(-c3cc(C)c4c(c3)CN([C@@H](C)C3CC3)C4=O)ccc2[nH]1,1,0,1,1
